"date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","sqft_above","sqft_basement","yr_built","yr_renovated","city"
2014-06-24,850000,4,3.25,3450,4895,2,0,0,3,2300,1220,2003,0,"aa"
2014-06-09,229950,2,1,940,7569,1,0,0,3,920,0,1958,2004,"ar"
2014-06-02,439800,3,1.75,1660,14333,1,0,0,3,1130,550,1948,2003,"aa"
2014-05-19,487250,3,2,1760,4064,2,0,0,3,1765,0,1913,2000,"aa"
2014-05-27,760000,3,2.5,2670,5000,2,0,0,3,2670,0,2004,2003,"am"
2014-06-27,560000,3,2.25,2070,11585,2,0,0,3,2060,0,1985,0,"ap"
2014-05-06,675000,3,1.5,1310,5750,1.5,0,0,4,1270,0,1946,1988,"aa"
2014-06-25,374500,4,2.5,2040,9300,2,0,0,3,2040,0,1998,2006,"ao"
2014-05-29,860000,3,1.75,1670,4337,1.5,0,0,5,1940,100,1916,0,"aa"
2014-05-24,372000,4,2.25,1770,9000,1,0,0,4,1010,720,1955,2009,"au"
2014-06-03,440000,3,1.5,1510,8820,1,0,0,3,1520,0,1953,0,"ac"
2014-06-18,646000,6,2,1830,4240,1,0,0,5,960,870,1951,0,"aa"
2014-05-23,580000,5,1.75,2180,5440,1,0,0,3,1270,900,1939,1969,"aa"
2014-07-01,499990,3,2.25,1300,4284,2,0,0,4,1240,0,1905,0,"aa"
2014-07-01,337000,2,2,1610,7992,2,0,0,4,1620,0,1960,2001,"ai"
2014-05-31,587000,4,2.5,2910,12146,2,0,0,3,2920,0,1995,0,"ag"
2014-06-11,742000,3,3,2540,6164,1,0,0,4,1550,940,1940,2001,"aa"
2014-06-19,399888,5,2.75,2280,7412,1.5,0,0,3,1430,770,1973,2013,"ae"
2014-07-01,314500,4,2.5,2010,9244,2,0,0,3,2000,0,2005,0,"af"
2014-06-20,2e+05,3,2,1190,7000,1,0,0,4,1180,0,1969,0,"af"
2014-05-29,264000,2,1,1000,19204,1,0,0,4,1000,0,1978,2000,"al"
2014-06-25,315000,5,3,2010,9643,1,0,0,4,1180,800,1975,0,"aq"
2014-05-20,5e+05,4,2.5,3290,6455,2,0,0,3,3290,0,2005,0,"au"
2014-05-02,403000,3,2.5,1540,1433,2,0,0,3,1570,0,1997,0,"ap"
2014-06-20,780000,4,2.5,3150,4203,2,0,0,3,3030,0,2001,0,"ae"
2014-05-23,439950,3,2.75,2420,13446,1,0,0,4,1850,560,1980,0,"al"
2014-06-05,1075000,4,2.5,2920,4000,3,0,0,3,2320,600,2004,2003,"ap"
2014-06-04,399950,3,1.5,1110,8106,1,0,2,4,830,360,1948,0,"ae"
2014-05-21,344500,4,2.5,2100,3723,2,0,0,3,2100,0,1999,0,"aq"
2014-05-14,155000,3,1,870,10270,1,0,0,3,870,0,1962,2004,"af"
2014-05-12,5e+05,2,1,1500,4800,1,0,0,3,1570,0,1954,2005,"am"
2014-05-07,440000,3,2.75,1970,3211,1,0,0,3,1190,790,1994,0,"aa"
2014-05-14,267800,4,1.75,1510,5706,1,0,0,3,840,620,1983,2009,"aq"
2014-05-24,479000,3,1,1150,5500,1,0,0,4,1120,0,1942,1982,"aa"
2014-06-27,260000,3,2.5,1560,4200,2.5,0,0,3,1520,0,2004,2003,"ay"
2014-07-10,203400,2,1,1310,1221,2,0,0,3,1110,270,2009,0,"aa"
2014-07-02,389000,3,2,1670,8868,1,0,0,4,1690,0,1964,0,"ai"
2014-05-06,219000,3,1,990,6000,1,0,0,4,990,0,1967,0,"af"
2014-06-03,0,3,2.5,2000,4828,2,0,0,4,2010,0,2003,0,"bl"
2014-06-12,248000,4,2,2030,6000,1.5,0,0,3,2250,0,1956,2001,"ad"
2014-07-02,1075000,4,3.5,3820,10900,2,0,0,3,2550,1290,2001,0,"ac"
2014-05-23,2e+05,3,1.75,950,7742,1,0,0,5,950,0,1978,0,"az"
2014-05-08,229000,2,1,520,10540,1,0,0,2,650,0,1949,0,"aa"
2014-06-10,458663.888889,2,1,890,4590,1,0,0,3,880,0,1923,2008,"aa"
2014-05-07,365000,5,3,2230,8504,1,0,0,4,1560,590,1968,0,"aa"
2014-07-01,952500,4,2.5,3990,8391,2.5,0,0,3,3950,0,2002,0,"ag"
2014-07-03,26590000,5,2.5,4570,7850,2.5,1,4,5,3040,1460,1958,0,"bk"
2014-05-28,6e+05,3,2.5,2510,7636,2,0,0,3,2500,0,1993,0,"ap"
2014-05-08,349000,3,1.75,1090,11802,1,0,0,4,1090,0,1969,0,"aj"
2014-06-18,337945.75,3,2.5,1600,4611,2,0,1,3,1600,0,2004,2003,"bf"
2014-05-08,1039000,4,3.5,3900,5474,2,0,0,3,3200,390,2014,0,"aa"
2014-06-19,297857.142857,4,2.25,2030,42399,2,0,0,3,1980,0,1991,0,"al"
2014-05-28,225000,3,2,1900,7004,1,0,0,3,1030,910,1987,2000,"az"
2014-05-08,413450,4,2.5,2420,11034,2,0,0,3,2420,0,1988,2000,"aq"
2014-05-06,484000,3,2.25,1580,965,3,0,0,3,1463,0,2004,2003,"ap"
2014-07-03,26590000,4,5.25,6390,15682,2,0,0,3,3940,1320,2001,0,"aa"
2014-05-27,375000,4,2.5,3140,9687,2,0,0,3,2450,870,1999,0,"az"
2014-06-03,471000,3,2.25,2280,6500,1,0,2,4,1220,1150,1964,0,"aa"
2014-06-11,214950,3,2.25,1590,5280,1,0,0,3,1060,570,1980,0,"ar"
2014-05-19,215000,2,1.5,880,8850,1,0,0,3,880,0,1958,2004,"aq"
2014-06-04,1126000,5,3.25,2880,13927,1,0,0,3,1460,1370,1995,0,"ak"
2014-07-03,410000,2,1,860,4000,1,0,0,4,860,0,1942,1982,"aa"
2014-06-06,2e+05,2,1,1396,9610,2,0,0,3,1410,0,1978,0,"af"
2014-06-04,1126000,5,2.75,3790,13224,1.5,0,0,4,2400,1500,1978,2000,"ac"
2014-05-22,432000,2,2.5,1480,1131,3,0,0,3,1480,70,2005,0,"aa"
2014-07-09,210614.285714,2,1.75,1030,2686,2,0,0,3,1010,0,1995,0,"ax"
2014-06-08,445000,2,1,1320,19271,1,0,0,4,1370,0,1978,2000,"aq"
2014-05-12,9e+05,4,3.5,4490,101930,1,0,0,5,3200,1590,1981,0,"ap"
2014-05-19,386591,3,2.5,2010,4927,2,0,0,3,2000,0,2013,1923,"ay"
2014-06-18,690000,4,1.75,2160,9484,1,0,0,3,2160,0,1968,1997,"ac"
2014-05-08,437000,3,2.5,1540,1426,2,0,2,3,1240,310,2005,0,"aa"
2014-05-30,325000,3,1.75,1440,22651,1.5,0,0,3,1490,0,1994,0,"ba"
2014-07-07,481000,3,2.25,1680,3817,2,0,0,3,1680,0,1994,0,"ap"
2014-06-27,0,4,2.25,1860,6770,1.5,0,0,5,1940,0,1953,0,"ad"
2014-05-05,210000,3,1.5,1380,9750,1,0,0,3,1390,0,1960,2012,"aq"
2014-06-23,899000,4,3.5,2620,4960,2,0,0,3,2120,260,1914,2000,"aa"
2014-07-09,9e+05,4,2.5,2250,4372,2,0,0,4,1300,900,1997,0,"aa"
2014-07-08,1205000,4,2.5,2640,5477,2,0,0,3,2630,0,2006,0,"aa"
2014-06-19,750000,4,2.75,2880,4369,2,0,0,3,2890,0,2013,1923,"ap"
2014-06-13,171000,2,1,660,7906,1,0,0,4,690,0,1939,1987,"aa"
2014-05-07,540000,7,4,3570,8279,2,0,0,3,3440,0,1984,0,"ap"
2014-05-15,343000,4,1.75,1700,7119,1,0,0,3,1640,0,1967,2011,"ad"
2014-06-23,385000,3,3.25,1320,1347,2,0,0,3,1120,240,2007,0,"aa"
2014-05-22,657500,4,1.75,1590,5750,1,0,0,3,1430,150,1978,0,"ae"
2014-07-07,378000,4,1.75,1920,7560,1.5,0,0,3,2250,0,1974,0,"ax"
2014-07-10,639000,4,1.75,1660,4021,1.5,0,0,5,1280,400,1932,1979,"aa"
2014-06-03,835000,4,2.75,2200,4050,3,0,0,5,2190,0,1945,0,"aa"
2014-06-23,290000,4,2.5,2570,8400,1,0,0,4,1280,1250,1988,0,"an"
2014-05-16,317000,4,2.5,2000,6156,2,0,0,3,2000,0,2003,0,"aq"
2014-06-02,802000,2,2.5,2280,9604,2,0,0,4,2120,0,1987,0,"ac"
2014-05-21,525000,4,3.5,3010,4360,2,0,0,3,2080,940,1954,2005,"aa"
2014-05-05,830000,4,1.75,2740,6600,1,0,3,3,1370,1420,1965,1993,"aa"
2014-07-08,235500,2,1.75,1390,4650,1,0,0,4,1330,0,1961,2001,"ap"
2014-06-02,542804.75,5,2.75,2870,4120,2,0,0,3,2540,520,2002,0,"aa"
2014-06-06,450000,4,1,1740,8400,1.5,0,0,3,1660,0,1919,2000,"bm"
2014-06-25,349000,3,1,1010,9206,1,0,0,4,1010,0,1954,1979,"aa"
2014-06-25,519000,4,2.5,2040,2772,2,0,0,3,1720,320,2005,0,"ap"
2014-07-03,285000,4,2,2030,7102,1,0,0,4,1770,400,1959,0,"af"
2014-06-18,242000,3,2,1370,7476,1,0,0,3,1340,0,1983,2009,"aq"
2014-06-17,415000,6,2.25,3740,19290,1,0,0,3,2410,1490,1958,2002,"bb"
2014-05-20,675000,3,2.5,1840,3035,2,0,2,3,1850,0,2005,0,"aa"
2014-05-27,0,2,1.5,1520,3500,1,0,0,4,1190,290,1942,1982,"aa"
2014-05-28,215000,3,1.5,1650,7300,1,0,0,3,1100,520,1981,2013,"az"
2014-05-09,851000,3,1.75,2160,26460,1,0,2,3,1400,820,1952,2008,"aa"
2014-06-24,319000,4,2.5,2360,4469,2,0,0,3,2360,0,2011,0,"aa"
2014-06-05,535000,3,2.5,1360,1349,2,0,0,3,900,500,2006,0,"aa"
2014-06-18,465000,4,1.75,2320,17568,2,0,0,4,2310,0,1918,1990,"ar"
2014-06-26,626000,3,2.5,3350,8016,2,0,0,3,3360,0,2006,0,"ag"
2014-07-09,610000,2,2,1710,6360,2,0,0,4,1700,0,1924,0,"aa"
2014-06-26,251555.555556,3,1,1740,9450,1,0,0,3,1100,600,1962,2004,"ax"
2014-06-20,443500,3,2.5,2770,4002,2,0,4,3,2760,0,2014,0,"ad"
2014-06-05,466800,3,1,1300,5120,1.5,0,0,4,1255,0,1926,1993,"aa"
2014-06-24,295000,3,1,1100,8100,1,0,0,4,1100,0,1955,2009,"ai"
2014-06-25,804100,4,3.5,3330,4000,2,0,0,3,3064,780,2005,0,"ap"
2014-06-30,1165000,5,2.75,3340,9143,1,1,3,5,1680,1590,1978,0,"ac"
2014-06-30,963000,5,4,3460,7924,2,0,1,3,2760,900,1942,2002,"aa"
2014-05-12,635000,4,2.5,2920,4930,2,0,0,3,2910,0,2001,0,"am"
2014-07-07,320000,3,1,1450,7200,1,0,0,3,1260,250,1968,1997,"ad"
2014-05-30,650000,2,1.5,1030,1200,3,0,0,3,1070,0,2008,0,"aa"
2014-05-20,475000,4,2.5,2430,3174,2,0,0,3,2430,0,2010,0,"ah"
2014-06-16,680000,3,2,1610,5000,1,0,0,5,960,620,1910,1988,"aa"
2014-06-26,243800,4,1,1370,5926,1,0,0,3,1570,0,1954,2005,"aa"
2014-05-12,372500,4,3,2230,9360,1,0,0,5,1450,740,1968,0,"al"
2014-06-20,775950,4,2.5,2300,1987,1.5,0,0,3,1710,680,1910,2005,"aa"
2014-07-09,2321000,6,4.75,5780,10800,2,0,1,3,4950,950,2003,0,"bk"
2014-06-20,203000,3,1,920,9812,1,0,0,3,920,0,1991,0,"az"
2014-07-07,593000,7,5.75,4850,4400,2,0,4,3,2782,1530,2014,0,"ae"
2014-06-17,332000,3,2.5,2480,5136,2,0,0,3,2496,0,2014,0,"af"
2014-06-27,725000,4,2.25,2500,4046,1.5,0,0,3,1750,670,1927,1982,"aa"
2014-05-16,254000,3,1,960,8532,1,0,0,4,960,0,1958,1972,"ar"
2014-05-26,690000,4,2.5,3030,8111,2,0,0,4,2020,1070,1989,0,"ac"
2014-05-14,437000,3,1.75,1560,11600,1,0,0,4,1460,0,1961,2001,"aj"
2014-06-03,605000,4,2.5,2760,16411,2,0,0,3,2770,0,1991,0,"ag"
2014-07-07,266000,3,1.75,1580,8868,1,0,0,5,1180,400,1984,0,"bb"
2014-06-26,435000,3,1.75,2410,9620,1,0,0,4,1860,550,1983,0,"ad"
2014-05-19,280000,3,1,910,28717,1,0,0,4,910,0,1967,0,"ay"
2014-05-22,408000,3,1.5,2030,4030,1.5,0,0,3,1650,310,1926,2008,"aa"
2014-06-17,580000,4,2.5,2430,4800,2,0,0,3,2430,0,2008,0,"au"
2014-07-08,580000,3,2.25,1300,907,3,0,0,3,1290,0,1994,0,"aa"
2014-06-24,542500,4,2.5,2330,7543,2,0,0,3,2320,0,1990,2009,"ag"
2014-07-08,370000,3,1.5,2450,7700,1,0,0,3,1680,800,1960,2012,"aa"
2014-06-13,385000,2,1,800,26329,1,0,0,4,800,0,1984,0,"ag"
2014-06-11,527000,3,1,910,5000,1,0,0,5,910,0,1910,1956,"aa"
2014-06-19,756000,3,2.75,3310,8837,2,0,0,3,3300,0,2007,0,"ag"
2014-07-01,392000,4,1.5,2750,18296,1.5,0,0,3,2720,0,1934,1974,"aq"
2014-06-13,235000,3,1.75,1640,7560,1.5,0,0,3,1740,0,1990,2009,"ad"
2014-07-08,485000,4,3,3020,8086,2,0,0,3,3030,0,2001,0,"an"
2014-06-19,775000,4,3,4000,7984,2,0,0,3,4140,0,2008,0,"ah"
2014-06-17,669000,6,1.75,2000,3207,1.5,0,0,5,1450,550,1926,0,"aa"
2014-06-11,262500,3,2.25,1870,7963,1,0,0,4,1080,840,1962,0,"aq"
2014-05-21,360000,4,2.5,2490,6365,2,0,0,3,2490,0,2002,0,"ay"
2014-07-09,215000,3,1.75,1330,6780,1,0,0,3,1520,0,1959,1989,"ad"
2014-07-08,427550,3,1,1240,14404,1,0,0,3,1300,0,1955,2005,"ac"
2014-06-30,457000,2,1,950,3036,1.5,0,0,4,920,0,1943,0,"aa"
2014-05-05,8e+05,3,2,1760,3245,1.5,0,0,4,2080,0,1905,0,"aa"
2014-05-05,4e+05,2,1.75,1340,9647,1,0,0,4,1370,0,1987,0,"ap"
2014-05-21,3e+05,3,1,1140,10072,1,0,0,4,1120,0,1967,0,"ad"
2014-06-09,307550,4,1,1410,10905,1,0,0,4,1320,240,1969,0,"ad"
2014-06-18,274500,3,2.25,1520,9011,1,0,0,3,1270,150,1961,2004,"ad"
2014-06-05,1300000,5,1.75,3990,5000,1.5,0,4,4,2520,1800,1907,0,"aa"
2014-06-11,290000,2,1,840,9238,1,0,0,4,840,0,1947,1989,"ai"
2014-07-08,190000,3,1.5,1460,7926,1,0,0,3,1470,0,1960,2012,"af"
2014-05-31,538888,3,2.25,2120,9593,1,0,0,3,1320,820,1986,0,"am"
2014-06-05,257000,4,2.5,1930,5855,2,0,0,3,1930,0,1990,2009,"az"
2014-05-28,450000,3,1.5,1020,9762,1,0,0,4,1020,0,1956,0,"ac"
2014-05-30,465000,3,2.25,1750,35127,1,0,0,4,1590,180,1977,0,"ap"
2014-07-08,267000,3,1.75,2250,14439,1,0,0,4,1620,630,1966,0,"aq"
2014-06-04,275000,3,2.25,2080,11266,1,0,0,4,1270,830,1952,0,"av"
2014-06-25,804100,4,2,2050,9552,1,0,0,5,1610,500,1974,0,"ae"
2014-05-21,220000,3,1,960,8012,1,0,0,5,960,0,1950,0,"aa"
2014-07-09,379000,3,2.5,2590,6715,2,0,0,3,2590,0,2011,0,"aq"
2014-05-19,367000,4,2.75,2050,7133,1,0,0,5,2150,0,1968,0,"bf"
2014-06-20,780000,4,3.25,4500,21870,2,0,0,4,3420,1120,1989,0,"am"
2014-07-02,1288333.33333,3,2.5,3280,9400,1,0,4,3,1660,1630,1952,2008,"aa"
2014-05-15,592500,4,2.25,2430,13695,1,0,0,5,1480,1000,1977,0,"ae"
2014-05-28,244615,3,1.75,1300,9645,1,0,0,4,1280,0,1978,2000,"ba"
2014-06-19,1325000,5,3.25,2880,7500,2,0,4,3,2440,360,1918,1994,"aa"
2014-07-09,395000,4,3.5,1850,5352,1.5,0,0,5,1870,0,2004,2003,"ay"
2014-06-17,325000,3,1.75,1160,5060,1,0,0,3,880,290,1971,0,"aa"
2014-06-05,214100,3,1.75,1590,7300,1,0,0,5,1320,270,1992,0,"af"
2014-06-25,680000,3,2.25,1610,4000,2,0,0,3,1610,0,2004,2003,"ap"
2014-05-20,1690000,4,3.25,4040,18916,1,0,0,3,2110,2150,1960,2012,"av"
2014-06-19,659500,3,1.5,1380,7200,2,0,0,4,1410,0,1971,0,"aa"
2014-07-08,568000,3,2.5,2280,5348,2,0,2,3,1670,660,1996,0,"aa"
2014-07-07,437000,3,1.75,1860,217800,2,0,0,3,1860,0,2003,0,"al"
2014-05-29,3e+05,2,1,740,3844,1,0,0,3,730,0,1918,0,"aa"
2014-05-21,895000,5,3.25,3340,6675,2,0,0,3,3350,0,2007,0,"ag"
2014-06-20,245000,1,0.75,420,8149,1,0,0,4,380,0,1942,1982,"aa"
2014-06-26,334888,3,1.75,2000,43560,1,0,1,4,1720,350,1959,0,"af"
2014-05-30,415000,5,2.5,3753,7204,2,0,0,3,3336,870,2001,0,"aa"
2014-06-19,580000,4,2.5,3220,5886,2,0,0,3,3240,0,2014,0,"ad"
2014-06-25,374500,3,2.25,1920,11612,1,0,0,4,1100,800,1961,2001,"au"
2014-06-26,1410000,4,2.5,5700,108900,1,0,0,3,2200,2110,2007,0,"ao"
2014-05-23,478000,2,1.75,1740,7897,1,0,0,3,1240,520,1977,2004,"aa"
2014-05-14,458000,3,2.25,2450,31941,1,0,0,4,2640,0,1987,0,"al"
2014-05-21,520000,2,1.75,2050,11900,1,0,0,3,1870,0,1946,0,"bc"
2014-05-05,770000,3,2.5,2680,7130,2,0,0,3,2680,0,2006,0,"ap"
2014-06-23,399950,4,1.75,2030,7420,1,0,0,4,1480,590,1968,0,"ae"
2014-06-26,667000,4,2.25,1950,13503,1,0,0,4,1564,310,1977,0,"ac"
2014-06-30,550000,4,1,1580,6750,1,0,0,4,1570,0,1944,0,"aa"
2014-06-11,0,5,2.75,2740,14021,1,0,2,4,1510,1180,1979,0,"aq"
2014-06-24,639888,3,1.75,1660,7475,1,0,0,5,1460,0,1974,0,"av"
2014-06-23,335000,3,1,1270,3600,2,0,0,5,1260,0,1905,0,"aa"
2014-07-02,1075000,4,3.5,4680,5104,2,0,4,4,3280,1280,1988,0,"ar"
2014-07-02,1054690,4,3.5,4660,21870,2,0,0,3,4440,0,2001,0,"aw"
2014-05-28,6e+05,4,2.5,2560,4747,2,0,0,3,2550,0,2008,0,"aa"
2014-06-17,2475000,4,5.25,4850,26211,1,0,2,3,3100,2180,1977,2004,"ac"
2014-05-27,475000,3,2.5,2010,2805,2,0,0,3,1680,280,2005,0,"ap"
2014-06-28,475000,3,1.75,1880,2250,2,0,0,3,1590,310,2014,0,"ap"
2014-06-23,312891,3,1.75,1830,12196,1,0,0,3,1970,0,1960,2012,"au"
2014-05-21,655000,2,2.5,2670,2500,2,0,0,3,1760,920,2005,0,"ap"
2014-07-02,567500,4,1.75,2190,78844,1,0,0,3,2110,0,2004,2003,"aj"
2014-05-23,550000,5,1,2070,10182,1.5,0,0,4,1420,620,1919,1985,"aa"
2014-07-08,315000,4,2.5,1940,4558,2,0,0,4,1940,0,1974,0,"au"
2014-06-09,365000,3,1.75,1710,15500,1,0,0,4,1780,0,1958,1972,"ai"
2014-06-05,250000,3,2.5,1890,7942,2,0,0,3,1880,0,1983,2009,"ad"
2014-07-01,920000,4,3.25,3620,8014,2.5,0,0,3,3610,0,2007,0,"am"
2014-05-24,372000,3,2.5,2010,6871,2,0,0,3,2000,0,2001,0,"aa"
2014-07-08,890000,4,3.5,3770,30884,2,0,0,3,3280,990,1989,0,"am"
2014-07-02,690000,3,2.5,2030,3984,1,0,0,3,1020,1030,1986,0,"aa"
2014-06-19,576000,3,2.5,1830,1804,3,0,0,3,1680,0,2007,0,"aa"
2014-05-20,1100000,0,1.75,2430,11214,1,0,4,3,2290,0,2008,0,"ae"
2014-06-04,837500,3,2.5,2630,8642,2,0,0,3,2630,0,1988,2000,"ac"
2014-06-19,280000,3,1,1140,27760,1,0,0,4,1150,0,1908,0,"ac"
2014-06-23,362300,4,2,2400,7149,2,0,0,4,2350,0,1949,1985,"aa"
2014-06-04,418500,3,1.75,1680,15500,1,0,0,5,1240,520,1967,0,"ad"
2014-05-28,254000,3,2.5,1690,6755,2,0,0,3,1680,0,1986,0,"az"
2014-05-12,840000,4,2.5,3280,6628,2,0,0,3,3290,0,2014,0,"ap"
2014-05-30,919204,4,2.75,2660,5750,2,0,0,3,2656,0,2008,0,"am"
2014-05-16,252700,2,1,1120,10350,1,0,0,3,1120,0,1981,2013,"aq"
2014-05-07,428000,3,2.25,1950,43560,1,0,0,4,1800,300,1984,0,"ap"
2014-06-19,429900,5,3,2280,10117,1,0,0,3,1110,1130,1963,2008,"ac"
2014-07-01,425000,3,1.5,1300,19163,1.5,0,0,3,1300,0,1927,2002,"af"
2014-06-09,255000,3,2.25,2060,8721,1,0,0,5,1380,680,1970,0,"az"
2014-06-04,545000,3,1.5,2070,5000,1.5,0,0,4,1810,320,1927,0,"aa"
2014-06-18,485000,5,3,3560,10583,1,0,0,5,2210,1330,1968,0,"aj"
2014-07-02,262000,3,2.25,1780,7885,2,0,0,4,1790,0,1981,0,"aq"
2014-07-03,1140000,3,1.75,1460,5940,1,0,3,3,1030,500,1947,2012,"aa"
2014-07-01,459500,4,3,2890,4502,2,0,0,3,2360,516,1999,0,"aa"
2014-05-09,325000,4,2.5,1600,7496,1,0,0,3,1170,360,1950,2005,"aa"
2014-07-10,426500,3,2.5,1950,6045,2,0,0,3,1960,0,1995,0,"ap"
2014-06-25,190368.75,1,1,650,11400,1,0,0,5,560,0,1952,1998,"af"
2014-07-02,915000,4,3,4080,22370,2,0,0,3,4150,0,2006,0,"ag"
2014-07-08,440000,3,1.75,1920,4000,2,0,0,3,1920,0,1947,2012,"aa"
2014-06-10,480000,4,2,1790,40250,1.5,0,0,5,1440,400,1941,0,"ba"
2014-06-17,421000,4,2,1450,8400,1,0,0,4,1470,0,1981,0,"aa"
2014-05-16,725000,4,2.25,2000,4905,1.5,0,0,5,1460,480,1929,0,"aa"
2014-05-28,999000,3,3.25,2170,12508,2,0,0,3,2200,590,1942,1999,"aa"
2014-05-27,465000,3,1.75,1450,12446,1,0,0,3,1560,0,1956,2001,"aj"
2014-06-06,568500,4,2.5,2440,5100,2,0,0,3,1890,550,1996,0,"aa"
2014-05-21,512500,3,1.5,1540,7040,1.5,0,0,3,1550,0,1926,2003,"aa"
2014-06-02,668500,3,2.5,2570,10000,1,0,1,3,1700,740,1949,2013,"aa"
2014-06-02,544000,4,2.5,2030,5684,2,0,0,3,2025,0,1978,0,"aa"
2014-06-26,224000,3,1.75,1770,15005,1,0,0,3,1360,440,1956,2001,"aq"
2014-06-16,435000,2,1.5,1490,12196,1,0,0,3,1050,480,1910,1994,"aa"
2014-06-16,852880,4,2.5,2960,4000,2,0,1,4,2930,0,1902,0,"aa"
2014-05-09,536500,5,3,1800,9548,2,0,0,3,1800,0,1991,0,"ag"
2014-06-18,650000,5,2.25,2780,8994,2,0,0,3,2790,0,2013,1923,"aa"
2014-06-11,7e+05,3,2.75,2540,7505,2,0,0,3,2520,0,1992,0,"ag"
2014-07-10,725000,2,1.75,1780,5202,1,0,0,5,960,870,1952,1998,"aa"
2014-05-29,332000,2,2.5,1590,9406,2,0,0,3,1600,0,1997,0,"aj"
2014-05-02,750000,3,2.5,2490,5539,1,0,0,4,1400,1180,1941,1998,"aa"
2014-05-02,445700,3,2.25,1970,43560,2,0,0,3,1970,0,1986,0,"ap"
2014-06-03,427874,3,2.5,2200,6396,2,0,0,3,2190,0,2003,0,"ah"
2014-06-02,472500,4,3,3170,23265,2,0,0,3,2400,770,1991,0,"ai"
2014-05-28,432500,3,3.75,1296,1546,2,0,0,3,1160,0,2009,0,"aa"
2014-06-27,285000,2,1,910,7740,1,0,0,2,910,0,1949,0,"aa"
2014-05-29,4e+05,5,2.75,2320,5003,1,0,0,3,1100,1130,2007,0,"aa"
2014-07-03,395000,3,2,1410,6738,1,0,0,4,910,500,1946,1988,"aa"
2014-06-11,292000,5,3,2490,4781,1.5,0,0,3,1970,540,1957,2001,"ad"
2014-05-19,320000,4,2.5,3020,5793,2,0,0,3,2990,0,2014,0,"aq"
2014-06-06,385200,4,1.75,1590,7800,1,0,0,4,1420,120,1977,0,"ab"
2014-06-26,471000,3,1.75,1520,15330,1,0,0,3,1530,0,1955,2013,"au"
2014-06-30,550000,4,2.75,2770,8853,2,0,1,3,2770,0,2005,0,"am"
2014-05-28,960000,5,3.25,4140,49222,2,0,0,3,2830,1400,1985,0,"am"
2014-05-19,755000,4,2.25,1960,8680,1,0,2,5,2110,0,1968,0,"ag"
2014-07-10,1550000,4,2.25,4200,6240,2,0,0,4,2750,1430,1926,1993,"aa"
2014-07-01,952500,4,1.5,1840,9052,1.5,0,0,4,1890,0,1907,0,"ac"
2014-05-26,346000,5,1.75,2330,7350,1,0,0,4,1360,920,1966,0,"ad"
2014-06-18,175000,2,1,700,5500,1,0,0,3,710,0,1947,2012,"ai"
2014-06-18,564000,4,2.25,2030,6000,1,0,0,3,1280,700,1949,1998,"aa"
2014-05-27,160000,2,1,1400,4500,1,0,0,3,900,490,1947,2012,"aa"
2014-05-16,445000,4,1.75,1830,10720,1.5,0,0,3,1980,0,1977,2004,"ah"
2014-06-12,560000,4,2.5,2170,9600,1,0,0,3,1140,1080,1980,0,"am"
2014-06-25,330000,3,1.5,1400,8840,1,0,0,4,1370,0,1959,0,"ai"
2014-06-30,419000,3,1.75,1300,13775,1,0,0,3,1260,0,1988,2000,"ag"
2014-07-07,209950,3,1.5,1580,8750,1,0,0,4,1200,400,1966,0,"az"
2014-06-11,8e+05,3,1.75,2380,6300,1.5,0,0,5,1910,550,1910,0,"aa"
2014-06-04,532000,4,2.75,1900,10500,1,0,0,4,1450,500,1967,0,"ac"
2014-05-06,390000,3,2,1930,4250,1,0,0,3,1650,290,2006,0,"ah"
2014-05-15,620000,3,2.25,1530,958,3,0,0,5,1530,0,2003,0,"aa"
2014-06-20,605000,4,2.5,4060,9734,1,0,2,3,2150,1910,1985,0,"am"
2014-05-02,491500,4,2,1640,5000,1.5,0,0,4,1390,300,1928,0,"aa"
2014-06-05,565000,3,2.5,2540,4165,2,0,0,3,2520,0,2002,0,"ad"
2014-05-30,545000,3,1,1150,6380,1,0,0,3,1030,180,1944,0,"aa"
2014-06-11,545000,4,2.25,2110,12112,1,0,0,4,1320,760,1961,2001,"bc"
2014-07-10,8e+05,2,2.5,2560,5500,2,0,0,3,2550,0,2001,0,"am"
2014-05-22,307000,3,1,1510,8645,1,0,0,3,960,510,1978,0,"ad"
2014-06-05,456000,5,2.75,2630,20720,1,0,3,4,1280,1350,1962,0,"ak"
2014-05-13,465000,3,1.75,1560,4049,1.5,0,0,3,1480,0,1900,2005,"aa"
2014-05-22,180000,2,1,910,10575,1,0,0,3,910,0,1963,2008,"aq"
2014-05-07,160000,3,1,1060,5000,1,0,0,3,1090,0,1959,1989,"aa"
2014-05-16,5e+05,2,1,1980,7519,1,0,0,4,1000,980,1941,1998,"aa"
2014-05-05,398750,4,2.25,2150,6355,2,0,0,3,2150,0,2001,0,"ay"
2014-06-02,316000,4,2.25,2030,14653,1,0,0,4,1180,830,1963,0,"ad"
2014-05-19,646212.5,4,2.25,2400,6180,1.5,0,0,5,1690,710,1932,0,"aa"
2014-07-01,402500,3,2.5,2490,18980,1,0,0,4,2450,0,1952,0,"ac"
2014-05-08,589900,4,2.5,2840,4247,2,0,0,3,2850,0,2001,0,"ae"
